"anno"	"mese"	"giorno"	"tmed"	"tmax"	"tmin"	"urel"	"prec"
2011	4	1	14.5578336715698	17.9120006561279	11.0430002212524	65.7714462280273	0
2011	4	2	14.6649580001831	18.2709999084473	12.125	69.7790374755859	-1.73472347597681e-18
2011	4	3	13.3349170684814	16.0200004577637	11.0369997024536	77.9359664916992	0
2011	4	4	13.720666885376	16.2919998168945	11.3319997787476	82.3271255493164	0.0569999992847443
2011	4	5	14.6242504119873	18.8479995727539	10.6300001144409	62.8027420043945	0
2011	4	6	14.9475412368774	18.0520000457764	11.0109996795654	56.562328338623	6.93889390390723e-18
2011	4	7	15.9030418395996	19.5659999847412	12.9069995880127	62.3210945129395	0
2011	4	8	15.4208335876465	18.6509990692139	12.5469999313354	78.8146514892578	-4.33680868994202e-19
2011	4	9	17.1445407867432	21.1380004882812	13.2320003509521	71.1389083862305	0
2011	4	10	17.843957901001	24.3159999847412	12.9770002365112	50.142951965332	0
2011	4	11	18.0327091217041	22.007999420166	13.9610004425049	42.6226615905762	0
2011	4	12	15.566333770752	17.9699993133545	12.6669998168945	62.3896064758301	0
2011	4	13	13.1012916564941	16.3349990844727	9.20499992370605	57.1028709411621	0.14099999666214
2011	4	14	11.7331666946411	15.7229995727539	9.23700046539307	69.4646072387695	2.68439998626709
2011	4	15	11.4154586791992	15.6269998550415	8.78899955749512	66.5321578979492	20.5651992797852
2011	4	16	12.7081251144409	16.576000213623	7.78999996185303	54.2766036987305	0.331999993324278
2011	4	17	12.6649580001831	16.7959995269775	8.12899971008301	58.3140602111816	0
2011	4	18	13.0766668319702	16.6359996795654	8.54899978637695	55.8270225524902	0
2011	4	19	14.5365419387817	18.7520008087158	9.75	50.6004180908203	0
2011	4	20	14.812292098999	19.617000579834	9.51099967956543	52.1448707580566	-5.55111512312578e-17
2011	4	21	14.5043754577637	17.9640007019043	10.8039999008179	56.9427871704102	0
2011	4	22	15.5435419082642	20.4370002746582	10.3990001678467	49.985164642334	0.0140000000596047
2011	4	23	14.9302082061768	18.4500007629395	13.5019998550415	75.9407196044922	1.63889999389648
2011	4	24	15.2006254196167	17.8729991912842	12.2340002059937	76.0047454833984	0.0140000000596048
2011	4	25	17.5240421295166	22.3910007476807	12.5050001144409	61.4576225280762	1.30100002288818
2011	4	26	17.5559158325195	21.4720001220703	12.8319997787476	55.6220893859863	3.38300018310547
2011	4	27	15.5690002441406	19.1200008392334	11.7290000915527	66.619140625	0.996000003814697
2011	4	28	14.939624786377	18.193000793457	11.0550003051758	67.5639877319336	0.137000000476837
2011	4	29	15.0517501831055	19.0170001983643	10.8599996566772	65.3362045288086	0.0879999995231628
2011	4	30	16.5511245727539	21.1520004272461	12.0629997253418	61.5734786987305	6.79179992675781
2011	5	1	16.1612491607666	19.3229999542236	12.1750001907349	65.4655380249023	0.0930000007152557
2011	5	2	16.6136665344238	20.69700050354	12.1339998245239	66.1579284667969	1.2490009027033e-15
2011	5	3	17.109167098999	20.5729999542236	13.0559997558594	70.0393142700195	0.0790000021457672
2011	5	4	16.3113746643066	20.8479995727539	10.8999996185303	62.5610771179199	7.65800018310547
