"anno"	"mese"	"giorno"	"tmed"	"tmax"	"tmin"	"urel"	"prec"
2011	4	1	12.2454586029053	14.7559995651245	9.55500030517578	85.6927185058594	0
2011	4	2	12.3570003509521	14.4709997177124	9.91899967193604	87.9619903564453	0
2011	4	3	11.4739999771118	13.3000001907349	8.9680004119873	93.8438339233398	0.0170000001788139
2011	4	4	12.7948751449585	14.4790000915527	10.1879997253418	91.2472381591797	0.0519999980926514
2011	4	5	13.7679166793823	16.886999130249	10.710000038147	74.253173828125	0
2011	4	6	12.8531665802002	15.9180002212524	9.13799953460693	72.0236434936523	0
2011	4	7	13.7347087860107	16.1879997253418	10.7819995880127	82.427734375	0
2011	4	8	14.1825838088989	15.6520004272461	12.8479995727539	89.9556045532227	-1.73472347597681e-18
2011	4	9	14.1105833053589	16.257999420166	10.96399974823	91.0741424560547	0.0299070000648499
2011	4	10	15.7924995422363	20.6940002441406	10.8229999542236	71.1572113037109	9.899999713525e-05
2011	4	11	14.9271669387817	19.9820003509521	9.75300025939941	67.4947128295898	0
2011	4	12	14.2788333892822	15.9440002441406	11.5659999847412	87.6354293823242	0.161000001430511
2011	4	13	13.4095420837402	15.6590003967285	10.1450004577637	66.6123275756836	0.246799993515015
2011	4	14	11.5305004119873	14.5649995803833	8.44799995422363	78.1396255493164	2.56399993896484
2011	4	15	11.1498746871948	14.0570001602173	8.45600032806396	78.0324249267578	13.4070007324219
2011	4	16	11.6316251754761	15.5100002288818	6.44399976730347	69.4830856323242	0
2011	4	17	11.862208366394	15.0559997558594	7.21600008010864	70.8753814697266	0
2011	4	18	11.2961254119873	14.5659999847412	6.30299997329712	72.417350769043	0
2011	4	19	12.1541662216187	16.568000793457	6.36199998855591	69.3929061889648	0
2011	4	20	12.574291229248	16.6919994354248	6.93200016021729	72.0815505981445	0
2011	4	21	12.8844585418701	15.8629999160767	8.73200035095215	75.2087478637695	0
2011	4	22	13.1092920303345	17.8439998626709	7.82499980926514	70.3961410522461	0.094999998807907
