"nome_loc","lat","lon","alfa_l","alfa_u","alfa_a","MAE_sim","ME_sim","RMSE_sim","success_sim","ind_data_confronto"
Follonica,44.11793056,9.841513889,0.5,0,0,40.5346666666667,-6.824,63.2821055275502,1,1519
Follonica,44.11793056,9.841513889,0.5,0,1e-05,43.8966666666667,4.13133333333333,71.5075540065523,1,1528
Follonica,44.11793056,9.841513889,0.5,0,2e-05,43.8866666666667,0.817333333333334,66.7353028014409,1,1537
Follonica,44.11793056,9.841513889,0.5,0,3e-05,50.6333333333333,18.5666666666667,82.1609813313676,1,1546
Follonica,44.11793056,9.841513889,0.5,0,4e-05,50.3926666666667,14.9113333333333,80.1947462119558,1,1555
Follonica,44.11793056,9.841513889,0.5,0,5e-05,51.3166666666667,9.65533333333333,77.3641619873181,1,1564
Follonica,44.11793056,9.841513889,0.6,0,0,36.628,-15.608,55.4477505404863,1,1573
Follonica,44.11793056,9.841513889,0.6,0,1e-05,36.584,-10.0253333333333,57.5967515287682,1,1582
Follonica,44.11793056,9.841513889,0.6,0,2e-05,40.7666666666667,-11.4093333333333,61.1897113355941,1,1591
Follonica,44.11793056,9.841513889,0.6,0,3e-05,38.4706666666667,-8.608,60.0096090083358,1,1600
Follonica,44.11793056,9.841513889,0.6,0,4e-05,39.0706666666667,-9.908,60.886179493653,1,1609
Follonica,44.11793056,9.841513889,0.6,0,5e-05,39.782,-3.03,63.0163359772686,1,1618
Follonica,44.11793056,9.841513889,0.7,0,0,41.206,-25.6886666666667,58.1086092301878,1,1627
Follonica,44.11793056,9.841513889,0.7,0,1e-05,36.3006666666667,-21.646,52.1937783009942,1,1636
Follonica,44.11793056,9.841513889,0.7,0,2e-05,35.25,-14.4233333333333,53.7800271476317,1,1645
Follonica,44.11793056,9.841513889,0.7,0,3e-05,44.9333333333333,-37.4933333333333,64.0446731586632,1,1654
Follonica,44.11793056,9.841513889,0.7,0,4e-05,47.452,-41.4706666666667,67.0697708360481,1,1663
Follonica,44.11793056,9.841513889,0.7,0,5e-05,38.2933333333333,-22.9133333333333,56.5222056658561,1,1672
Follonica,44.11793056,9.841513889,0.8,0,0,42.5613333333333,-35.2773333333333,56.5474672583426,1,1681
Follonica,44.11793056,9.841513889,0.8,0,1e-05,43.3773333333333,-35.3773333333333,58.1480230675701,1,1690
Follonica,44.11793056,9.841513889,0.8,0,2e-05,42.0393333333333,-29.9433333333333,56.816173636269,1,1699
Follonica,44.11793056,9.841513889,0.8,0,3e-05,43.7626666666667,-34.3653333333333,59.2342313193984,1,1708
Follonica,44.11793056,9.841513889,0.8,0,4e-05,39.344,-23.956,55.5224646427012,1,1717
Follonica,44.11793056,9.841513889,0.8,0,5e-05,36.356,-22.6666666666667,52.0341367437442,1,1726
