"nome_loc","lat","lon","alfa_l","alfa_u","alfa_a","MAE_sim","ME_sim","RMSE_sim","success_sim","ind_data_confronto"
Marina di Grosseto,44.11793056,9.841513889,1.2,0,5e-05,20.8213333333333,-13.0026666666667,27.9471525084996,1,430
Marina di Grosseto,44.11793056,9.841513889,1.3,0,0,24.2826666666667,-20.4746666666667,32.8151794144113,1,439
Marina di Grosseto,44.11793056,9.841513889,1.3,0,1e-05,25.1813333333333,-21.9773333333333,34.4744937598799,1,448
Marina di Grosseto,44.11793056,9.841513889,1.3,0,2e-05,23.2566666666667,-17.626,30.9721365100957,1,457
Marina di Grosseto,44.11793056,9.841513889,1.3,0,3e-05,21.4486666666667,-18.314,29.336782145741,1,466
Marina di Grosseto,44.11793056,9.841513889,1.3,0,4e-05,22.1166666666667,-13.642,30.4367678967396,1,475
Marina di Grosseto,44.11793056,9.841513889,1.3,0,5e-05,22.3533333333333,-17.188,29.8452126814335,1,484
Marina di Grosseto,44.11793056,9.841513889,1.4,0,0,26.6406666666667,-26.5513333333333,38.1177881484922,1,493
Marina di Grosseto,44.11793056,9.841513889,1.4,0,1e-05,22.2526666666667,-17.4953333333333,30.0973179314481,1,502
Marina di Grosseto,44.11793056,9.841513889,1.4,0,2e-05,23.4013333333333,-18.056,31.4373909010698,1,511
Marina di Grosseto,44.11793056,9.841513889,1.4,0,3e-05,24.4506666666667,-24.4106666666667,34.6125037137352,1,520
Marina di Grosseto,44.11793056,9.841513889,1.4,0,4e-05,22.334,-16.1766666666667,30.3309423966132,1,529
Marina di Grosseto,44.11793056,9.841513889,1.4,0,5e-05,22.0193333333333,-19.0406666666667,30.2651797725813,1,538
Marina di Grosseto,44.11793056,9.841513889,1.5,0,0,26.1073333333333,-23.066,35.795219978837,1,547
Marina di Grosseto,44.11793056,9.841513889,1.5,0,1e-05,25.69,-25.5726666666667,36.2334473472601,1,556
Marina di Grosseto,44.11793056,9.841513889,1.5,0,2e-05,25.262,-24.8073333333333,35.812603181934,1,565
Marina di Grosseto,44.11793056,9.841513889,1.5,0,3e-05,22.4186666666667,-19.812,30.90621426186,1,574
Marina di Grosseto,44.11793056,9.841513889,1.5,0,4e-05,23.282,-20.426,32.0884687491732,1,583
Marina di Grosseto,44.11793056,9.841513889,1.5,0,5e-05,29.4993333333333,-29.4046666666667,40.5962325017154,1,592
Marina di Grosseto,44.11793056,9.841513889,1.6,0,0,26.44,-26.112,37.7647228684831,1,601
Marina di Grosseto,44.11793056,9.841513889,1.6,0,1e-05,23.946,-23.3686666666667,34.3356939641534,1,610
Marina di Grosseto,44.11793056,9.841513889,1.6,0,2e-05,21.3886666666667,-19.9513333333333,30.9376002085919,1,619
Marina di Grosseto,44.11793056,9.841513889,1.6,0,3e-05,24.55,-23.774,34.9857584358741,1,628
Marina di Grosseto,44.11793056,9.841513889,1.6,0,4e-05,27.4046666666667,-27.2833333333333,38.1530683781353,1,637
Marina di Grosseto,44.11793056,9.841513889,1.6,0,5e-05,23.826,-22.3513333333333,33.7789948538042,1,646
Marina di Grosseto,44.11793056,9.841513889,1.7,0,0,27.7706666666667,-27.6733333333333,39.2295215367203,1,655
Marina di Grosseto,44.11793056,9.841513889,1.7,0,1e-05,28.268,-28.1973333333333,39.157082628817,1,664
Marina di Grosseto,44.11793056,9.841513889,1.7,0,2e-05,24.1873333333333,-20.7793333333333,33.5844997977738,1,673
Marina di Grosseto,44.11793056,9.841513889,1.7,0,3e-05,32.5106666666667,-32.4426666666667,44.1352349036459,1,682
Marina di Grosseto,44.11793056,9.841513889,1.7,0,4e-05,27.118,-27.078,38.0956513703773,1,691
Marina di Grosseto,44.11793056,9.841513889,1.7,0,5e-05,24.8066666666667,-24.6453333333333,35.4989949153494,1,700
Marina di Grosseto,44.11793056,9.841513889,1.8,0,0,30.6393333333333,-30.562,42.201603287079,1,709
Marina di Grosseto,44.11793056,9.841513889,1.8,0,1e-05,31.222,-31.1286666666667,42.0456268039059,1,718
Marina di Grosseto,44.11793056,9.841513889,1.8,0,2e-05,27.9126666666667,-27.8353333333333,39.1273566702378,1,727
Marina di Grosseto,44.11793056,9.841513889,1.8,0,3e-05,31.0333333333333,-30.9026666666667,42.5264081091581,1,736
Marina di Grosseto,44.11793056,9.841513889,1.8,0,4e-05,28.0586666666667,-28.0186666666667,38.3489761706011,1,745
Marina di Grosseto,44.11793056,9.841513889,1.8,0,5e-05,26.4846666666667,-26.35,37.1100052995595,1,754
